Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure
Peru,5831.83024758521,73.832,81.0318,68.924,1.3148655415575
Philippines,3198.6669001424,70.097,229.3498,54.746,1.29724003910725
Poland,14937.5960275482,76.4,377.5105,57.169,2.28748515617247
Portugal,19778.7138255776,81.3292682926829,57.4529,57.579,1.429790701133
Puerto Rico,28145.0053474362,80.009,14.6702,40.6,
Qatar,57769.604101576,80.409,140.1496,87.105,
Romania,10916.3126056493,74.2536585365854,110.7665,52.028,2.00950429821317
Russian Federation,9632.3251953125,71.3387804878049,2395.6156,61.422,4.17147890118067
Rwanda,826.391257189481,66.953,7.5282,62.66,1.47386932055023
Samoa,4283.07280337978,70.727,0.5656,47.522,
San Marino,40506.8521137898,82.65,,,
Sao Tome and Principe,1430.84119299096,67.979,0.2605,23.091,
Saudi Arabia,21944.785821998,77.596,733.0635,62.414,8.7921741101353
Senegal,1361.79143748646,67.496,26.9667,50.23,1.41190887856501
Serbia,6850.96677811138,74.4780487804878,,53.373,2.37558463404513
Seychelles,17048.361729788,77.2365853658537,1.2197,,1.57270914610167
Sierra Leone,999.888885139707,59.694,6.6324,53.271,0.546605434850038
Singapore,59144.3539186758,83.5439024390244,68.0695,68.712,2.81188317988763
Sint Maarten (Dutch part),28920.3773007159,75.002,,,
Slovak Republic,17763.8564029317,76.8658536585366,42.5163,58.906,1.92200478883117
Slovenia,22811.8052853002,80.5317073170732,17.8252,57.811,1.0585626998026
Solomon Islands,1930.64258596415,69.258,0.6507,83.331,
Somalia,463.032522124252,57.095,32.445,33.707,
South Africa,5569.58483319272,65.15,541.7096,54.701,0.955615163117871
South Sudan,,57.648,,73.219,2.27987941114745
Spain,25073.7209751005,82.2317073170732,290.3876,56.401,1.36664551701951
Sri Lanka,4229.74962899734,76.928,39.7966,50.495,1.73988733298184
St. Kitts and Nevis,18887.4362551531,71.181,0.1416,,
St. Lucia,8379.30975677286,72.308,0.3966,53.739,
St. Martin (French part),,80.085,,,
St. Vincent and the Grenadines,8025.28499765773,69.605,0.1362,63.883,
Sudan,1056.86474609375,65.124,136.672,39.13,0.978360320871545
Suriname,7213.10766669943,72.321,3.7481,53.549,
Sweden,51715.78104096,82.3560975609756,52.0428,64.196,1.14608642427625
Switzerland,84637.0132313179,83.0,44.9823,67.984,0.772558973227674
Syrian Arab Republic,740.811397013438,71.944,40.5397,37.65,
Tajikistan,1171.90127480359,68.605,21.0412,40.676,0.947973986993497
Tanzania,1041.25964355469,66.771,83.3068,80.392,1.07679696200969
Thailand,6035.18627737077,77.331,433.7212,67.022,1.46077928107965
Timor-Leste,1947.83997138866,66.919,1.9137,65.846,1.78169014084507
Togo,806.956490395231,61.123,9.5974,57.414,2.83898598749665
Tonga,4656.93166185355,72.379,0.3122,53.096,
Trinidad and Tobago,15789.6138011089,72.645,36.5129,58.637,0.863709067504928
Tunisia,3749.26722435797,75.004,40.1968,46.978,2.7097783729293
Turkiye,12179.6626536773,76.525,583.3643,49.334,2.43140036241802
Turkmenistan,6965.11226889286,68.846,99.7859,46.511,
Turks and Caicos Islands,18073.2852240745,77.499,0.0963,,
Tuvalu,4233.0183205634,66.357,0.0039,,
Uganda,917.0350317644,66.41,50.2018,78.651,2.73212093048135
Ukraine,2324.107421875,73.283,287.5521,55.087,4.40031470276707
United Arab Emirates,40776.6308681689,81.936,249.3237,78.781,
United Kingdom,42215.8837450989,80.331756097561,399.6036,62.543,2.16221591341109
United States,59493.1459820135,76.9804878048781,5671.6044,61.556,3.65051373404041
Uruguay,16439.3140406635,78.381,38.9164,61.255,2.03583835576405
Uzbekistan,3249.05191093933,71.461,197.9939,55.517,
Vanuatu,2747.30576044379,70.385,0.6291,58.039,
"Venezuela, RB",,72.369,136.3366,51.95,1.57552271230291
Viet Nam,3303.16949807493,75.383,497.4168,74.367,
Virgin Islands (U.S.),35850.7433148653,79.819512195122,0.0244,52.662,
West Bank and Gaza,2922.46801084844,74.998,,40.936,
"Yemen, Rep.",951.130341070454,66.435,32.8781,32.506,
Zambia,1228.73500113195,63.361,27.3441,60.872,1.17049645770462
Zimbabwe,1224.27231433409,61.53,26.7706,64.763,0.997931278066502
